TOWN_ID,PUB_ACCESS,LEV_PROT,GIS_ACRES,SHAPE_AREA,PRIM_PURP,Town,NAME,Households,Median income,,,
148.0,"Y, L, N, X","P, N, L",6456.35301953,26127900.13525020,"C, B, R, A, H, W",LANESBOROUGH,"Lanesborough town, Berkshire County, Massachusetts",1368,75156,,,
149.0,"Y, X, L","P, L, N",482.87707005,1954134.17212456,"R, A, H, B, C",LAWRENCE,"Lawrence city, Essex County, Massachusetts",30291,47542,,,
150.0,"X, N, Y, L","P, N, L, X",6296.42019483,25480687.60193040,"C, A, B, R, H, W, X",LEE,"Lee town, Berkshire County, Massachusetts",2306,73750,,,
151.0,"Y, L, N","P, L, N",2657.49405997,10754496.90391290,"R, H, W, C, B",LEICESTER,"Leicester town, Worcester County, Massachusetts",3924,83015,,,
152.0,"N, Y, X, L","P, L, N",5476.54901598,22162807.557902800,"C, R, W, B, H, O",LENOX,"Lenox town, Berkshire County, Massachusetts",2211,71117,,,
153.0,"N, Y, L, X","P, N, L, X",6518.28468406,26378562.236316400,"W, C, B, R, H, A",LEOMINSTER,"Leominster city, Worcester County, Massachusetts",17896,69525,,,
154.0,"Y, L, X, N","P, L",5427.1462879,21962917.33473440,"C, B, H",LEVERETT,"Leverett town, Franklin County, Massachusetts",708,97188,,,
155.0,"Y, N, L, X","P, L, N",2592.12695641,10489964.04319540,"H, R, C, B, W, O, A",LEXINGTON,"Lexington town, Middlesex County, Massachusetts",12301,202852,,,
156.0,"L, Y, N","P, L, N",3258.09702828,13185045.98626960,"C, H, A, W, R, B",LEYDEN,"Leyden town, Franklin County, Massachusetts",259,97625,,,
157.0,"N, Y, L, X","P, L",4017.66863009,16258936.17127730,"A, C, B, W, H, R",LINCOLN,"Lincoln town, Middlesex County, Massachusetts",2566,145833,,,
158.0,"Y, X, L, N","P, L, X, N",2008.80769894,8129321.23468635,"C, W, R, B, A, H, U, O",LITTLETON,"Littleton town, Middlesex County, Massachusetts",3504,140511,,,
159.0,"Y, X, L","L, P, X, N",1586.80634911,6421545.09009354,"R, H, C, W, B",LONGMEADOW,"Longmeadow town, Hampden County, Massachusetts",5821,129780,,,
160.0,"Y, X, N, L","P, L, N, X",1230.59100624,4980025.11709657,"R, H, C, W, B",LOWELL,"Lowell city, Middlesex County, Massachusetts",42285,64489,,,
